id,fopt,freq,fts,machine,memory,natoms,nbasis,nproc,popt,sp,runtime
mb46.comet.sdsc.xsede.org.558078.150521,1,0,0,3,8000,41,441,16,0,0,358675
ch5c_1b.trestles.sdsc.teragrid.org.2484239.150209,0,1,0,1,5000,7,428,16,0,0,1463655
mn19.comet.sdsc.xsede.org.516854.150430,1,1,0,3,8000,49,612,16,0,0,35851
mn17.comet.sdsc.xsede.org.516852.150430,1,1,0,3,8000,51,492,16,0,0,20461
md2.trestles.sdsc.teragrid.org.2586228.150424,1,1,0,1,8000,41,402,16,0,0,144101
nm36.comet.sdsc.xsede.org.597760.150615,1,0,0,3,1000,7,292,16,0,0,47149
am26.comet.sdsc.xsede.org.738745.150801,0,0,0,3,8000,41,433,16,0,1,3782
n1s.comet.sdsc.xsede.org.1368732.151212,1,1,0,3,1000,5,168,16,0,0,4374
y1.trestles.sdsc.teragrid.org.2543323.150316,1,1,0,1,8000,41,342,4,0,0,40547
fa8.comet.sdsc.xsede.org.595465.150613,1,1,0,3,8000,10,376,16,0,0,62445
mx20.gordon.sdsc.edu.2052558.150514,1,0,0,2,8000,49,488,16,0,0,419257
new1.comet.sdsc.xsede.org.1339900.151203,1,1,0,3,1000,5,124,16,0,0,10059
1Na_b3_2b.comet.sdsc.xsede.org.567883.150528,1,1,0,3,16000,65,698,16,0,0,446020
mz1.comet.sdsc.xsede.org.670956.150707,1,1,0,3,8000,44,645,16,0,0,125758
natr.comet.sdsc.xsede.org.596334.150613,1,0,0,3,500,3,19,1,0,0,2
BaCaN2l.trestles.sdsc.teragrid.org.2528187.150226,1,1,0,1,8000,7,141,16,0,0,650
mc36.comet.sdsc.xsede.org.557666.150520,0,0,0,3,8000,43,437,16,0,1,3736
mf1.comet.sdsc.xsede.org.512022.150427,1,1,0,3,8000,37,364,16,0,0,9750
mq5.comet.sdsc.xsede.org.628680.150629,0,0,0,3,8000,41,433,16,0,1,3710
mk18.comet.sdsc.xsede.org.595866.150613,1,0,0,3,8000,56,601,16,0,0,110032
nr54.trestles.sdsc.teragrid.org.2515682.150222,1,0,0,1,8000,49,501,16,0,0,233248
dh1et1irc.comet.sdsc.xsede.org.614958.150626,0,0,0,0,1000,24,221,16,0,0,91376
n3t.comet.sdsc.xsede.org.1308812.151124,1,1,0,3,1000,3,92,16,0,0,284
np1opt.comet.sdsc.xsede.org.1010929.150915,1,1,0,3,1000,24,217,16,0,0,7980
mm56.comet.sdsc.xsede.org.600398.150616,1,1,0,3,8000,46,603,16,0,0,30097
dav_r_2ph_xyl_mpw_geo.comet.sdsc.xsede.org.605280.150618,1,0,0,3,1000,44,387,16,0,0,1070
struct3-br.comet.sdsc.xsede.org.614118.150625,1,1,0,3,16000,25,397,16,0,0,8967
mp12.trestles.sdsc.teragrid.org.2580184.150417,1,1,0,1,8000,64,609,16,0,0,127378
mv17.trestles.sdsc.teragrid.org.2573691.150410,1,0,0,1,8000,31,454,16,0,0,109390
n2t.comet.sdsc.xsede.org.1366259.151212,1,1,0,3,1000,5,168,16,0,0,2704
2na_1a_bp_e.comet.sdsc.xsede.org.540795.150513,0,0,0,3,8000,36,416,16,0,1,21180
ns3.trestles.sdsc.teragrid.org.2583490.150423,1,1,0,1,1000,7,290,16,0,0,10874
7MC1a.trestles.sdsc.teragrid.org.2441630.150110,1,1,0,1,16000,40,426,16,0,0,71350
mn18.comet.sdsc.xsede.org.625820.150629,0,0,0,3,8000,38,414,16,0,1,1762
vd15.trestles.sdsc.teragrid.org.2486746.150210,1,0,0,1,8000,62,622,16,0,0,844933
mu83.comet.sdsc.xsede.org.567908.150528,1,0,0,3,8000,71,640,16,0,0,195061
yu2.comet.sdsc.xsede.org.742109.150803,1,1,0,3,8000,19,283,16,0,0,6129
n8a.comet.sdsc.xsede.org.1366397.151212,1,1,0,3,1000,5,168,16,0,0,5179
mr35.comet.sdsc.xsede.org.530856.150508,1,1,0,3,8000,74,845,16,0,0,498056
mv69.comet.sdsc.xsede.org.547257.150516,1,0,0,3,12000,39,581,16,0,0,407292
mp18.comet.sdsc.xsede.org.625919.150629,1,1,0,3,8000,46,514,16,0,0,15159
mj36.comet.sdsc.xsede.org.590353.150610,1,0,0,3,8000,37,360,16,0,0,64015
t22irc.comet.sdsc.xsede.org.612194.150624,0,0,0,0,1000,24,217,16,0,0,63298
tmsb3lypnmr.comet.sdsc.xsede.org.752710.150808,0,0,0,3,8000,17,202,16,0,1,165
dv81.trestles.sdsc.teragrid.org.2534664.150304,1,0,0,1,2000,38,532,2,0,0,331580
dh1t4sfirc.comet.sdsc.xsede.org.569388.150528,0,0,0,0,1000,24,221,16,0,0,68971
AMg1j1.comet.sdsc.xsede.org.574058.150601,1,1,0,3,16000,39,470,16,0,0,31296
mb25.trestles.sdsc.teragrid.org.2583132.150422,1,1,0,1,8000,71,640,16,0,0,127041
r98.trestles.sdsc.teragrid.org.2500631.150217,1,0,0,1,8000,65,693,16,0,0,691224
2TStest3_d.trestles.sdsc.teragrid.org.2451445.150120,0,0,1,1,16000,68,681,16,0,0,1387689
l208hf1.trestles.sdsc.teragrid.org.2448918.150118,1,1,0,1,1000,140,1029,16,0,0,1492630
hs3.comet.sdsc.xsede.org.727568.150729,1,1,0,3,8000,50,451,16,0,0,25729
mw109.comet.sdsc.xsede.org.564157.150526,1,0,0,3,8000,43,441,16,0,0,104922
mp17.trestles.sdsc.teragrid.org.2580190.150417,1,1,0,1,8000,84,844,16,0,0,319466
tddft4.comet.sdsc.xsede.org.826056.150821,0,0,0,3,16000,0,0,16,0,12,142759
mq1.comet.sdsc.xsede.org.628676.150629,0,0,0,3,8000,41,433,16,0,1,3846
mo53.comet.sdsc.xsede.org.625761.150629,0,0,0,3,8000,38,414,16,0,1,2694
dh3tp4sf.comet.sdsc.xsede.org.631432.150701,0,1,0,3,1000,27,240,16,0,0,1956
na6.comet.sdsc.xsede.org.802544.150817,1,0,0,3,2000,5,300,16,0,0,2249
hMg1.comet.sdsc.xsede.org.586441.150608,1,1,0,3,16000,68,732,16,0,0,81668
5btdh.comet.sdsc.xsede.org.720433.150726,0,0,0,3,1000,48,560,16,0,1,25039
mo22.comet.sdsc.xsede.org.628977.150630,0,0,0,3,8000,38,414,16,0,1,2934
r118.trestles.sdsc.teragrid.org.2539807.150312,0,0,0,1,8000,49,501,16,0,1,10350
default_job.comet.sdsc.xsede.org.651770.150706,1,0,0,3,500,3,19,1,0,0,2
mg14.comet.sdsc.xsede.org.571758.150530,1,0,0,3,8000,51,539,16,0,0,117386
ma15.comet.sdsc.xsede.org.555866.150519,1,0,0,3,8000,41,433,16,0,0,183905
ACa1g3.trestles.sdsc.teragrid.org.2534249.150303,1,1,0,1,16000,39,483,16,0,0,119008
me30.comet.sdsc.xsede.org.514779.150428,1,1,0,3,8000,49,496,16,0,0,23497
md7.comet.sdsc.xsede.org.571302.150529,1,0,0,3,7500,59,586,4,0,0,104429
7TS2f.trestles.sdsc.teragrid.org.2444681.150114,0,0,0,0,16000,40,426,16,0,0,21480
mp11.comet.sdsc.xsede.org.625912.150629,1,1,0,3,8000,96,1113,16,0,0,209137
ACa1o4.trestles.sdsc.teragrid.org.2529314.150228,1,1,0,1,16000,39,483,16,0,0,64173
mi8.trestles.sdsc.teragrid.org.2588795.150426,1,1,0,1,8000,53,496,16,0,0,50080
mu69.comet.sdsc.xsede.org.674180.150708,1,0,0,3,8000,82,801,16,0,0,575813
nv1.comet.sdsc.xsede.org.1308884.151124,0,0,0,3,1000,3,136,16,0,1,34
2TS_6b.trestles.sdsc.teragrid.org.2547843.150321,0,1,1,1,16000,68,681,16,0,0,921675
by1.comet.sdsc.xsede.org.734504.150731,1,1,0,3,8000,44,598,16,0,0,44091
dav_p_2ph_g_geo.comet.sdsc.xsede.org.587138.150608,1,0,0,3,1000,44,387,16,0,0,7100
mm32.comet.sdsc.xsede.org.606078.150619,1,1,0,3,8000,46,540,16,0,0,18031
ki7.comet.sdsc.xsede.org.691997.150716,0,1,0,3,8000,46,732,16,0,0,120234
nan10.comet.sdsc.xsede.org.843370.150826,0,0,0,3,8000,16,204,4,0,1,147
mi28.comet.sdsc.xsede.org.514629.150427,1,1,0,3,8000,45,445,16,0,0,21237
r115.trestles.sdsc.teragrid.org.2539804.150312,0,0,0,1,8000,49,501,16,0,1,15517
nb1.comet.sdsc.xsede.org.1317779.151127,0,0,0,3,1000,5,124,16,0,1,1986
nb10.comet.sdsc.xsede.org.1317782.151127,0,0,0,3,1000,5,124,16,0,1,4413
mg49.comet.sdsc.xsede.org.577856.150603,1,0,0,3,8000,60,592,16,0,0,389801
r96.trestles.sdsc.teragrid.org.2500557.150217,1,0,0,1,8000,65,693,16,0,0,837943
ma6.comet.sdsc.xsede.org.694651.150716,0,0,0,3,8000,38,422,16,0,1,2056
md42.comet.sdsc.xsede.org.559657.150522,1,0,0,3,8000,52,533,6,0,0,107644
mn15.comet.sdsc.xsede.org.625817.150629,0,0,0,3,8000,38,414,16,0,1,1766
default_job.comet.sdsc.xsede.org.664980.150707,1,0,0,3,500,3,19,1,0,0,2
mh80.comet.sdsc.xsede.org.584485.150607,1,1,0,3,8000,46,473,16,0,0,37890
kagg.comet.sdsc.xsede.org.962196.150906,1,1,0,3,8000,24,348,16,0,0,12293
k2.comet.sdsc.xsede.org.943027.150903,1,1,0,3,8000,6,66,16,0,0,146
RC01B-w.trestles.sdsc.teragrid.org.2497777.150217,1,1,0,1,0,14,114,0,0,0,6907
dh1p3opt.comet.sdsc.xsede.org.605249.150618,1,1,0,3,1000,24,221,16,0,0,4528
default_job.trestles.sdsc.teragrid.org.2580714.150418,1,0,0,1,500,3,19,1,0,0,4
mn9.comet.sdsc.xsede.org.516829.150430,1,1,0,3,8000,48,477,16,0,0,16902
hCsCy1_n.comet.sdsc.xsede.org.611245.150623,0,0,0,3,16000,45,473,16,0,1,312
ns1.trestles.sdsc.teragrid.org.2583480.150423,1,1,0,1,1000,7,290,16,0,0,10337
dh3tt1sf.comet.sdsc.xsede.org.631449.150701,0,1,0,3,1000,27,240,16,0,0,1973
ms20.comet.sdsc.xsede.org.629062.150630,1,1,0,3,8000,40,405,16,0,0,10069
n31a.comet.sdsc.xsede.org.1272912.151116,0,0,0,3,2000,7,292,16,0,1,298182
dh4t3sfirc.comet.sdsc.xsede.org.592896.150611,0,0,0,0,1000,30,259,16,0,0,117142
dv12.trestles.sdsc.teragrid.org.2520946.150224,1,0,0,1,2000,29,410,2,0,0,58076
mu15.trestles.sdsc.teragrid.org.2572401.150409,1,0,0,1,8000,32,438,16,0,0,393135
dhnp3.comet.sdsc.xsede.org.566188.150527,1,1,0,3,1000,24,217,16,0,0,5545
ocishomo.gordon.sdsc.edu.2361056.151213,0,0,0,2,1000,19,283,16,0,1,509
r10.trestles.sdsc.teragrid.org.2447985.150116,0,0,0,1,8000,49,501,16,0,1,15262
mr29.comet.sdsc.xsede.org.530844.150508,1,1,0,3,8000,68,820,4,0,0,245072
ACa1n4.trestles.sdsc.teragrid.org.2529312.150228,1,1,0,1,16000,39,499,16,0,0,87208
mg45.comet.sdsc.xsede.org.577852.150603,1,0,0,3,8000,60,592,16,0,0,254817
nm4p.comet.sdsc.xsede.org.1311027.151124,1,1,0,3,1000,3,92,16,0,0,1792
ml6.comet.sdsc.xsede.org.600801.150616,1,0,0,3,8000,49,488,16,0,0,452140
dav_r_2ph_xyl_mpw_geo.comet.sdsc.xsede.org.605107.150618,1,0,0,3,1000,44,387,16,0,0,8937
